i0.MultiQueueMigrator.migrationCount 14260
i0.MultiQueueMigrator.queueWaits 0
i0.MultiQueueMigrator.bufferedReads 0
i0.defaultMemory.decoder.migratedAccesses 1050916
i0.defaultMemory.channel0.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 4.94409e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 9.90734e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 7.48744e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 48518
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 74251
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 48518
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 91102
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 91102
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 25036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 469428
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 4988447
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 10.6266
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 48518
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 48517}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 4.94409e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 9.90734e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 7.48744e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 0.00189638W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 0.000380011W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 0.000287192W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 0.00122918W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 614.216MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 491076
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 20467627
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.0239928
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 74251
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 48518
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 91102
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 91102
