i0.MultiQueueMigrator.migrationCount 262
i0.MultiQueueMigrator.queueWaits 0
i0.MultiQueueMigrator.bufferedReads 0
i0.defaultMemory.decoder.migratedAccesses 12046
i0.defaultMemory.channel0.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 3.33862e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 200752mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 173390mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 1316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 1519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 1316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 1846
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 1846
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 8012
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 112834
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 14.0831
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 1316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 1315}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 3.33862e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 200752mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 173390mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 0.00138385W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 8.32111e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 7.18695e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 452.921MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 11340
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.0176922
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 1519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 1316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 1846
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 1846
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshes 2316
