i0.MultiQueueMigrator.migrationCount 1578
i0.MultiQueueMigrator.queueWaits 0
i0.MultiQueueMigrator.bufferedReads 0
i0.defaultMemory.decoder.migratedAccesses 252932
i0.defaultMemory.channel0.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 2.85505e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 1.90563e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 2.10086e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 8362
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 26304
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 8362
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 17523
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 17523
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 79928
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 1277020
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 15.9771
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 8362
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 8361}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 2.85505e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 1.90563e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 2.10086e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 0.0014298W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 9.54332e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 0.000105211W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 0.00122916W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 579.782MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 138664
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 6122641
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.0226477
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 26304
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 8362
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 17523
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 17523
