i0.MultiQueueMigrator.migrationCount 33298
i0.MultiQueueMigrator.queueWaits 0
i0.MultiQueueMigrator.bufferedReads 0
i0.defaultMemory.decoder.migratedAccesses 4989418
i0.defaultMemory.channel0.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 3.13019e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 1.78274e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 2.20481e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 98589
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 264772
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 98589
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 163930
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 163930
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 808016
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 14054213
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 17.3935
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 98589
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 98588}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 3.13019e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 1.78274e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 2.20481e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 0.00140864W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 8.02262e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 9.92202e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 579.789MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 1453444
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 64175327
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.022648
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 264772
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 98589
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 163930
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 163930
