i0.MultiQueueMigrator.migrationCount 50456
i0.MultiQueueMigrator.queueWaits 0
i0.MultiQueueMigrator.bufferedReads 0
i0.defaultMemory.decoder.migratedAccesses 5092728
i0.defaultMemory.channel0.FRFCFS.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 1.34575e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 3.5543e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 2.53835e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 144144
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 272908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 144144
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 326832
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 326832
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 1633318
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 15087411
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 9.23728
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 144144
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 144143}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 1.34575e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 3.5543e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 2.53835e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 0.00224604W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 0.000593208W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 0.000423647W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 624.302MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 1668208
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 68406158
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.0243868
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 272908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 144144
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 326832
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 326832
